           rhox         t           p          xne        xnatom        rho
  214   5.243E-01   4.575E+03   1.748E+03   2.419E+11   2.767E+15   5.914E-09
  215   5.304E-01   4.594E+03   1.787E+03   2.487E+11   2.818E+15   6.023E-09
  216   5.367E-01   4.607E+03   1.858E+03   2.589E+11   2.922E+15   6.246E-09
  217   5.486E-01   4.625E+03   1.944E+03   2.718E+11   3.045E+15   6.508E-09
  218   7.500E-01   4.583E+03   3.355E+03   4.332E+11   5.303E+15   1.134E-08
  219   7.576E-01   4.539E+03   3.921E+03   4.862E+11   6.259E+15   1.338E-08
  220   7.725E-01   4.525E+03   4.344E+03   5.272E+11   6.956E+15   1.487E-08
  221   7.944E-01   4.537E+03   4.710E+03   5.686E+11   7.522E+15   1.608E-08
  222   8.796E-01   4.732E+03   5.356E+03   6.995E+11   8.199E+15   1.752E-08
  223   8.957E-01   4.736E+03   5.228E+03   6.860E+11   7.997E+15   1.709E-08
  224   9.492E-01   4.580E+03   5.298E+03   6.435E+11   8.382E+15   1.791E-08
  225   9.652E-01   4.506E+03   5.382E+03   6.258E+11   8.656E+15   1.850E-08
  226   9.930E-01   4.544E+03   7.954E+03   8.887E+11   1.269E+16   2.712E-08
  227   1.041E+00   4.628E+03   1.131E+04   1.257E+12   1.771E+16   3.786E-08
  228   1.140E+00   4.815E+03   1.924E+04   2.193E+12   2.895E+16   6.188E-08
  229   1.211E+00   4.913E+03   2.454E+04   2.848E+12   3.620E+16   7.737E-08
  230   1.297E+00   4.987E+03   2.880E+04   3.400E+12   4.185E+16   8.945E-08
  231   1.402E+00   5.028E+03   3.172E+04   3.780E+12   4.572E+16   9.772E-08
  232   1.534E+00   5.028E+03   3.393E+04   4.000E+12   4.891E+16   1.045E-07
  233   1.700E+00   5.034E+03   3.589E+04   4.207E+12   5.167E+16   1.104E-07
  234   1.914E+00   5.036E+03   3.666E+04   4.288E+12   5.276E+16   1.128E-07
  235   2.198E+00   5.007E+03   3.736E+04   4.281E+12   5.409E+16   1.156E-07
  236   2.537E+00   5.034E+03   4.099E+04   4.700E+12   5.903E+16   1.262E-07
  237   2.944E+00   5.117E+03   4.119E+04   4.972E+12   5.835E+16   1.247E-07
  238   3.749E+00   5.007E+03   1.470E+04   1.950E+12   2.127E+16   4.546E-08
  239   3.768E+00   4.960E+03   1.175E+04   1.565E+12   1.717E+16   3.669E-08
  240   3.795E+00   4.903E+03   8.239E+03   1.115E+12   1.217E+16   2.602E-08
  241   3.814E+00   4.885E+03   5.665E+03   7.987E+11   8.402E+15   1.796E-08
  242   3.829E+00   4.867E+03   4.482E+03   6.458E+11   6.671E+15   1.426E-08
  243   3.844E+00   4.907E+03   4.499E+03   6.670E+11   6.641E+15   1.419E-08
  244   3.859E+00   4.937E+03   4.695E+03   7.084E+11   6.889E+15   1.472E-08
  245   3.875E+00   4.963E+03   5.236E+03   7.934E+11   7.642E+15   1.633E-08
  246   3.893E+00   4.990E+03   5.717E+03   8.740E+11   8.298E+15   1.774E-08
  247   3.912E+00   5.009E+03   6.165E+03   9.459E+11   8.916E+15   1.906E-08
  248   4.031E+00   5.033E+03   6.591E+03   1.022E+12   9.485E+15   2.027E-08
  249   6.787E+00   5.087E+03   6.751E+04   7.340E+12   9.623E+16   2.057E-07
  250   6.955E+00   4.975E+03   2.420E+04   2.916E+12   3.525E+16   7.533E-08
  251   6.988E+00   4.906E+03   1.563E+04   1.934E+12   2.309E+16   4.934E-08
  252   7.027E+00   4.901E+03   1.128E+04   1.459E+12   1.668E+16   3.564E-08
  253   7.062E+00   4.955E+03   1.092E+04   1.465E+12   1.597E+16   3.413E-08
  254   7.115E+00   5.020E+03   1.156E+04   1.607E+12   1.668E+16   3.565E-08
  255   7.466E+00   5.043E+03   1.351E+04   1.863E+12   1.941E+16   4.150E-08
  256   7.498E+00   5.044E+03   1.268E+04   1.767E+12   1.821E+16   3.891E-08
  257   7.797E+00   5.217E+03   7.397E+03   1.398E+12   1.027E+16   2.195E-08
  258   7.809E+00   5.235E+03   7.090E+03   1.392E+12   9.810E+15   2.097E-08
  259   7.828E+00   5.254E+03   6.532E+03   1.354E+12   9.005E+15   1.925E-08
  260   7.846E+00   5.301E+03   5.981E+03   1.381E+12   8.171E+15   1.746E-08
  261   7.862E+00   5.401E+03   5.491E+03   1.572E+12   7.362E+15   1.574E-08
  262   7.878E+00   5.472E+03   5.639E+03   1.840E+12   7.464E+15   1.595E-08
  263   7.897E+00   5.515E+03   6.229E+03   2.133E+12   8.180E+15   1.748E-08
  264   7.918E+00   5.478E+03   7.505E+03   2.220E+12   9.923E+15   2.121E-08
  265   7.950E+00   5.429E+03   8.959E+03   2.265E+12   1.195E+16   2.555E-08
  266   8.017E+00   5.142E+03   1.166E+04   1.802E+12   1.643E+16   3.512E-08
  267   8.051E+00   5.087E+03   1.332E+04   1.906E+12   1.897E+16   4.054E-08
  268   8.097E+00   5.120E+03   1.500E+04   2.160E+12   2.122E+16   4.536E-08
  269   8.155E+00   5.232E+03   1.678E+04   2.640E+12   2.324E+16   4.966E-08
  270   8.265E+00   5.338E+03   1.866E+04   3.257E+12   2.532E+16   5.412E-08
  271   8.324E+00   5.320E+03   2.240E+04   3.648E+12   3.050E+16   6.519E-08
  272   8.425E+00   5.319E+03   3.023E+04   4.579E+12   4.118E+16   8.802E-08
  273   8.609E+00   5.301E+03   5.415E+04   7.128E+12   7.403E+16   1.582E-07
  274   9.347E+00   5.373E+03   5.040E+04   7.202E+12   6.797E+16   1.453E-07
  275   9.643E+00   5.274E+03   4.806E+04   6.332E+12   6.605E+16   1.412E-07
  276   9.793E+00   5.289E+03   5.119E+04   6.745E+12   7.014E+16   1.499E-07
  277   1.067E+01   5.385E+03   3.705E+04   5.758E+12   4.984E+16   1.065E-07
  278   1.073E+01   5.282E+03   3.111E+04   4.510E+12   4.266E+16   9.119E-08
  279   1.080E+01   5.216E+03   2.452E+04   3.505E+12   3.406E+16   7.280E-08
  280   1.086E+01   5.259E+03   1.988E+04   3.101E+12   2.738E+16   5.852E-08
  281   1.091E+01   5.339E+03   1.665E+04   3.000E+12   2.259E+16   4.828E-08
  282   1.097E+01   5.470E+03   1.820E+04   3.889E+12   2.410E+16   5.150E-08
  283   1.121E+01   5.538E+03   2.757E+04   5.736E+12   3.606E+16   7.707E-08
  284   1.276E+01   5.812E+03   1.608E+05   2.846E+13   2.005E+17   4.286E-07
  285   1.340E+01   6.051E+03   1.661E+05   4.159E+13   1.989E+17   4.251E-07
  286   1.432E+01   6.184E+03   1.641E+05   5.136E+13   1.923E+17   4.110E-07
  287   1.535E+01   6.352E+03   1.627E+05   6.795E+13   1.855E+17   3.965E-07
  288   1.641E+01   6.542E+03   1.639E+05   9.413E+13   1.814E+17   3.878E-07
  289   1.745E+01   6.750E+03   1.654E+05   1.338E+14   1.774E+17   3.792E-07
  290   1.840E+01   7.022E+03   1.625E+05   2.052E+14   1.674E+17   3.578E-07
  291   1.933E+01   7.242E+03   1.489E+05   2.744E+14   1.486E+17   3.177E-07
  292   2.000E+01   7.897E+03   1.474E+05   6.743E+14   1.346E+17   2.876E-07
  293   2.027E+01   8.717E+03   1.492E+05   1.752E+15   1.222E+17   2.612E-07
